transaction_id,user_id,date,amount,category,payment_method,monthly_budget,cumulative_spend,financial_health_score
TRANS023561,CUST00005,2024-02-16,11000,Transportasi,Credit Card,2050000,35000,98.29
TRANS037418,CUST00005,2024-03-02,15000,Transportasi,Bank Transfer,2050000,15000,99.27
TRANS025321,CUST00005,2024-03-08,68000,Makan & Minum,E-Wallet,2050000,83000,95.95
TRANS017155,CUST00005,2024-03-11,106000,Hiburan & Nongkrong,Bank Transfer,2050000,189000,90.78
TRANS007741,CUST00005,2024-04-07,130000,Hiburan & Nongkrong,E-Wallet,2050000,130000,93.66
TRANS006456,CUST00005,2024-04-14,316000,Belanja Umum,Credit Card,2050000,446000,78.24
TRANS002337,CUST00005,2024-04-20,44000,Transportasi,Credit Card,2050000,490000,76.1
TRANS036410,CUST00005,2024-07-10,47000,Transportasi,Bank Transfer,2050000,47000,97.71
TRANS032774,CUST00005,2024-07-27,297000,Hiburan & Nongkrong,E-Wallet,2050000,344000,83.22
TRANS046016,CUST00005,2024-08-02,68000,Makan & Minum,E-Wallet,2050000,68000,96.68
TRANS017808,CUST00005,2024-08-31,37000,Makan & Minum,Bank Transfer,2050000,105000,94.88
TRANS023851,CUST00005,2024-10-17,74000,Makan & Minum,E-Wallet,2050000,74000,96.39
TRANS033961,CUST00005,2024-10-19,222000,Hiburan & Nongkrong,Bank Transfer,2050000,296000,85.56
TRANS028000,CUST00005,2024-11-15,25000,Transportasi,Bank Transfer,2050000,25000,98.78
TRANS021235,CUST00005,2024-12-04,43000,Makan & Minum,E-Wallet,2050000,43000,97.9
TRANS014924,CUST00005,2024-12-10,24000,Transportasi,E-Wallet,2050000,67000,96.73
TRANS044494,CUST00009,2023-04-14,2070000,Tagihan & Kos,E-Wallet,2640000,2070000,21.59
TRANS047715,CUST00009,2023-06-04,16000,Transportasi,Credit Card,2640000,16000,99.39
TRANS035182,CUST00009,2023-07-04,55000,Makan & Minum,E-Wallet,2640000,55000,97.92
TRANS038035,CUST00009,2023-07-25,41000,Makan & Minum,E-Wallet,2640000,96000,96.36
TRANS013399,CUST00009,2023-08-01,40000,Transportasi,Credit Card,2640000,40000,98.48
TRANS013081,CUST00009,2023-11-14,47000,Makan & Minum,Credit Card,2640000,47000,98.22
TRANS025226,CUST00009,2023-11-18,291000,Hiburan & Nongkrong,E-Wallet,2640000,338000,87.2
TRANS004663,CUST00009,2023-12-21,20000,Transportasi,E-Wallet,2640000,20000,99.24
TRANS022954,CUST00009,2024-01-01,47000,Makan & Minum,E-Wallet,2640000,47000,98.22
TRANS048191,CUST00009,2024-02-11,49000,Makan & Minum,Bank Transfer,2640000,49000,98.14
TRANS013903,CUST00009,2024-06-11,263000,Belanja Umum,Bank Transfer,2640000,263000,90.04
TRANS006983,CUST00009,2024-06-24,1285000,Tagihan & Kos,E-Wallet,2640000,1548000,41.36
TRANS012711,CUST00009,2024-06-25,315000,Belanja Umum,Credit Card,2640000,1863000,29.43
TRANS016544,CUST00009,2024-06-28,52000,Kebutuhan Kuliah,E-Wallet,2640000,1915000,27.46
TRANS012148,CUST00009,2024-07-12,33000,Makan & Minum,Bank Transfer,2640000,33000,98.75
TRANS030081,CUST00009,2024-09-02,27000,Makan & Minum,Credit Card,2640000,27000,98.98
TRANS032258,CUST00009,2024-10-05,32000,Transportasi,E-Wallet,2640000,32000,98.79
TRANS020693,CUST00011,2023-02-08,37000,Makan & Minum,E-Wallet,3095000,37000,98.8
TRANS003027,CUST00011,2023-02-09,69000,Makan & Minum,Credit Card,3095000,106000,96.58
TRANS028721,CUST00011,2023-04-05,161000,Kebutuhan Kuliah,Credit Card,3095000,161000,94.8
TRANS028478,CUST00011,2023-06-14,48000,Makan & Minum,E-Wallet,3095000,48000,98.45
TRANS020256,CUST00011,2023-07-02,122000,Kebutuhan Kuliah,Credit Card,3095000,122000,96.06
TRANS024990,CUST00011,2023-07-02,496000,Belanja Umum,Bank Transfer,3095000,618000,80.03
TRANS035893,CUST00011,2023-07-09,97000,Hiburan & Nongkrong,Bank Transfer,3095000,715000,76.9
TRANS001694,CUST00011,2023-09-26,58000,Hiburan & Nongkrong,E-Wallet,3095000,58000,98.13
TRANS036054,CUST00011,2023-12-03,58000,Makan & Minum,Bank Transfer,3095000,58000,98.13
TRANS011594,CUST00011,2023-12-08,31000,Makan & Minum,Bank Transfer,3095000,89000,97.12
TRANS039924,CUST00011,2023-12-26,34000,Makan & Minum,E-Wallet,3095000,123000,96.03
TRANS040434,CUST00011,2024-01-31,67000,Makan & Minum,E-Wallet,3095000,67000,97.84
TRANS041222,CUST00011,2024-02-22,110000,Hiburan & Nongkrong,E-Wallet,3095000,110000,96.45
TRANS030237,CUST00011,2024-02-29,30000,Transportasi,Bank Transfer,3095000,140000,95.48
TRANS021862,CUST00011,2024-04-02,72000,Makan & Minum,E-Wallet,3095000,72000,97.67
TRANS015211,CUST00011,2024-05-30,38000,Transportasi,Bank Transfer,3095000,38000,98.77
TRANS036601,CUST00011,2024-06-03,209000,Hiburan & Nongkrong,Bank Transfer,3095000,209000,93.25
TRANS041468,CUST00011,2024-07-05,93000,Kebutuhan Kuliah,Credit Card,3095000,93000,97.0
TRANS013385,CUST00011,2024-10-28,676000,Tagihan & Kos,E-Wallet,3095000,676000,78.16
TRANS029934,CUST00011,2024-11-25,1794000,Tagihan & Kos,E-Wallet,3095000,1794000,42.04
TRANS034471,CUST00012,2023-01-12,25000,Makan & Minum,Credit Card,2269000,25000,98.9
TRANS047337,CUST00012,2023-02-11,39000,Transportasi,Credit Card,2269000,39000,98.28
TRANS032778,CUST00012,2023-03-27,37000,Makan & Minum,Credit Card,2269000,37000,98.37
TRANS010088,CUST00012,2023-05-18,56000,Kebutuhan Kuliah,Bank Transfer,2269000,56000,97.53
TRANS011269,CUST00012,2023-07-17,229000,Hiburan & Nongkrong,Bank Transfer,2269000,229000,89.91
TRANS032280,CUST00012,2023-08-13,232000,Hiburan & Nongkrong,E-Wallet,2269000,232000,89.78
TRANS042090,CUST00012,2023-09-08,38000,Transportasi,Bank Transfer,2269000,38000,98.33
TRANS024073,CUST00012,2023-09-15,32000,Transportasi,Credit Card,2269000,70000,96.91
TRANS020269,CUST00012,2023-09-24,37000,Makan & Minum,Bank Transfer,2269000,107000,95.28
TRANS030250,CUST00012,2023-11-10,64000,Makan & Minum,Credit Card,2269000,64000,97.18
TRANS000366,CUST00012,2023-12-27,246000,Hiburan & Nongkrong,E-Wallet,2269000,246000,89.16
TRANS025480,CUST00012,2024-01-17,19000,Makan & Minum,E-Wallet,2269000,19000,99.16
TRANS013141,CUST00012,2024-01-21,52000,Makan & Minum,Credit Card,2269000,71000,96.87
TRANS020949,CUST00012,2024-03-21,19000,Transportasi,Bank Transfer,2269000,19000,99.16
TRANS038328,CUST00012,2024-03-25,212000,Hiburan & Nongkrong,E-Wallet,2269000,231000,89.82
TRANS000045,CUST00012,2024-03-27,71000,Makan & Minum,E-Wallet,2269000,302000,86.69
TRANS030631,CUST00012,2024-04-07,367000,Belanja Umum,Credit Card,2269000,367000,83.83
TRANS031731,CUST00012,2024-04-25,34000,Makan & Minum,Bank Transfer,2269000,401000,82.33
TRANS004704,CUST00012,2024-05-12,17000,Makan & Minum,Bank Transfer,2269000,17000,99.25
TRANS043713,CUST00012,2024-05-24,127000,Hiburan & Nongkrong,Credit Card,2269000,144000,93.65
TRANS001277,CUST00012,2024-06-08,61000,Makan & Minum,Bank Transfer,2269000,61000,97.31
TRANS014872,CUST00012,2024-07-22,58000,Makan & Minum,E-Wallet,2269000,58000,97.44
TRANS029341,CUST00012,2024-09-29,16000,Transportasi,Credit Card,2269000,16000,99.29
TRANS008613,CUST00012,2024-10-09,51000,Makan & Minum,E-Wallet,2269000,51000,97.75
TRANS012239,CUST00012,2024-10-15,18000,Makan & Minum,E-Wallet,2269000,69000,96.96
TRANS036315,CUST00012,2024-11-04,52000,Makan & Minum,E-Wallet,2269000,52000,97.71
TRANS007686,CUST00012,2024-11-10,29000,Kebutuhan Kuliah,Credit Card,2269000,81000,96.43
TRANS000400,CUST00014,2023-01-06,44000,Transportasi,Credit Card,1892000,44000,97.67
TRANS005996,CUST00014,2023-01-18,13000,Transportasi,E-Wallet,1892000,57000,96.99
TRANS018953,CUST00014,2023-02-09,71000,Belanja Umum,E-Wallet,1892000,71000,96.25
TRANS016199,CUST00014,2023-04-22,45000,Makan & Minum,E-Wallet,1892000,45000,97.62
TRANS048859,CUST00014,2023-10-01,44000,Transportasi,Credit Card,1892000,44000,97.67
TRANS029324,CUST00014,2023-10-03,52000,Makan & Minum,E-Wallet,1892000,96000,94.93
TRANS030482,CUST00014,2023-11-29,1537000,Tagihan & Kos,E-Wallet,1892000,1537000,18.76
TRANS002341,CUST00014,2023-12-11,15000,Makan & Minum,E-Wallet,1892000,15000,99.21
TRANS016040,CUST00014,2024-01-13,116000,Kebutuhan Kuliah,Credit Card,1892000,116000,93.87
TRANS013706,CUST00014,2024-03-03,59000,Makan & Minum,E-Wallet,1892000,59000,96.88
TRANS034766,CUST00014,2024-04-24,71000,Hiburan & Nongkrong,Bank Transfer,1892000,71000,96.25
TRANS020139,CUST00014,2024-04-30,32000,Transportasi,Bank Transfer,1892000,103000,94.56
TRANS036061,CUST00014,2024-05-19,58000,Makan & Minum,E-Wallet,1892000,58000,96.93
TRANS012866,CUST00014,2024-06-09,21000,Transportasi,Credit Card,1892000,21000,98.89
TRANS015699,CUST00014,2024-07-03,48000,Makan & Minum,Credit Card,1892000,48000,97.46
TRANS023184,CUST00014,2024-09-17,118000,Kebutuhan Kuliah,Credit Card,1892000,118000,93.76
TRANS003864,CUST00014,2024-09-19,48000,Makan & Minum,Credit Card,1892000,166000,91.23
TRANS002157,CUST00014,2024-09-23,71000,Makan & Minum,Credit Card,1892000,237000,87.47
TRANS026906,CUST00014,2024-10-09,147000,Kebutuhan Kuliah,Bank Transfer,1892000,147000,92.23
TRANS010075,CUST00014,2024-11-12,21000,Transportasi,Credit Card,1892000,21000,98.89
TRANS031434,CUST00014,2024-12-18,62000,Makan & Minum,Credit Card,1892000,62000,96.72
TRANS044166,CUST00019,2023-06-19,42000,Transportasi,Credit Card,3444000,42000,98.78
TRANS010473,CUST00019,2023-07-06,16000,Makan & Minum,Credit Card,3444000,16000,99.54
TRANS008884,CUST00019,2023-08-06,47000,Transportasi,E-Wallet,3444000,47000,98.64
TRANS016154,CUST00019,2023-08-12,10000,Transportasi,Bank Transfer,3444000,57000,98.34
TRANS047529,CUST00019,2023-08-14,233000,Belanja Umum,Bank Transfer,3444000,290000,91.58
TRANS033023,CUST00019,2023-11-20,53000,Makan & Minum,E-Wallet,3444000,53000,98.46
TRANS028999,CUST00019,2023-12-03,29000,Makan & Minum,Bank Transfer,3444000,29000,99.16
TRANS025952,CUST00019,2023-12-10,42000,Transportasi,Bank Transfer,3444000,71000,97.94
TRANS008794,CUST00019,2023-12-25,35000,Kebutuhan Kuliah,E-Wallet,3444000,106000,96.92
TRANS008447,CUST00019,2024-02-22,61000,Makan & Minum,Bank Transfer,3444000,61000,98.23
TRANS027790,CUST00019,2024-02-23,67000,Makan & Minum,E-Wallet,3444000,128000,96.28
TRANS048216,CUST00019,2024-03-15,90000,Hiburan & Nongkrong,Credit Card,3444000,90000,97.39
TRANS047471,CUST00019,2024-03-30,68000,Makan & Minum,Credit Card,3444000,158000,95.41
TRANS012630,CUST00019,2024-04-11,65000,Makan & Minum,E-Wallet,3444000,65000,98.11
TRANS043207,CUST00019,2024-05-28,61000,Makan & Minum,Bank Transfer,3444000,61000,98.23
TRANS016152,CUST00019,2024-06-10,224000,Hiburan & Nongkrong,Credit Card,3444000,224000,93.5
TRANS036766,CUST00019,2024-08-13,188000,Hiburan & Nongkrong,Credit Card,3444000,188000,94.54
TRANS024744,CUST00019,2024-09-07,26000,Makan & Minum,E-Wallet,3444000,26000,99.25
TRANS048883,CUST00019,2024-11-09,39000,Makan & Minum,Bank Transfer,3444000,39000,98.87
TRANS025704,CUST00019,2024-11-22,17000,Transportasi,Credit Card,3444000,56000,98.37
TRANS049996,CUST00019,2024-11-22,12000,Transportasi,Credit Card,3444000,68000,98.03
TRANS049970,CUST00019,2024-12-09,15000,Makan & Minum,Bank Transfer,3444000,15000,99.56
TRANS012073,CUST00024,2023-01-25,38000,Makan & Minum,Credit Card,2915000,38000,98.7
TRANS040814,CUST00024,2023-02-15,71000,Makan & Minum,Bank Transfer,2915000,71000,97.56
TRANS039193,CUST00024,2023-03-30,219000,Hiburan & Nongkrong,E-Wallet,2915000,219000,92.49
TRANS031004,CUST00024,2023-04-30,32000,Makan & Minum,Bank Transfer,2915000,32000,98.9
TRANS011476,CUST00024,2023-05-05,51000,Makan & Minum,E-Wallet,2915000,51000,98.25
TRANS026099,CUST00024,2023-07-02,28000,Makan & Minum,Credit Card,2915000,28000,99.04
TRANS041729,CUST00024,2023-07-25,70000,Makan & Minum,Bank Transfer,2915000,98000,96.64
TRANS010104,CUST00024,2023-09-18,24000,Makan & Minum,Credit Card,2915000,24000,99.18
TRANS018048,CUST00024,2023-11-04,263000,Hiburan & Nongkrong,E-Wallet,2915000,263000,90.98
TRANS023971,CUST00024,2023-11-10,41000,Makan & Minum,Credit Card,2915000,304000,89.57
TRANS026159,CUST00024,2024-06-12,18000,Transportasi,Credit Card,2915000,18000,99.38
TRANS001128,CUST00024,2024-07-29,126000,Hiburan & Nongkrong,Credit Card,2915000,126000,95.68
TRANS019964,CUST00024,2024-09-06,27000,Transportasi,E-Wallet,2915000,27000,99.07
TRANS003990,CUST00024,2024-09-08,61000,Makan & Minum,Bank Transfer,2915000,88000,96.98
TRANS034268,CUST00024,2024-11-24,38000,Makan & Minum,Credit Card,2915000,38000,98.7
TRANS023611,CUST00024,2024-12-08,375000,Belanja Umum,Bank Transfer,2915000,375000,87.14
TRANS025974,CUST00024,2024-12-21,32000,Transportasi,Credit Card,2915000,407000,86.04
TRANS004475,CUST00024,2024-12-22,15000,Makan & Minum,Credit Card,2915000,422000,85.52
TRANS019778,CUST00026,2023-01-27,29000,Transportasi,Bank Transfer,1900000,29000,98.47
TRANS003445,CUST00026,2023-02-25,39000,Transportasi,Bank Transfer,1900000,39000,97.95
TRANS048762,CUST00026,2023-03-01,26000,Transportasi,Bank Transfer,1900000,26000,98.63
TRANS049829,CUST00026,2023-03-13,17000,Transportasi,Bank Transfer,1900000,43000,97.74
TRANS017776,CUST00026,2023-03-20,51000,Makan & Minum,E-Wallet,1900000,94000,95.05
TRANS030871,CUST00026,2023-04-04,272000,Belanja Umum,E-Wallet,1900000,272000,85.68
TRANS022676,CUST00026,2023-04-10,469000,Belanja Umum,Credit Card,1900000,741000,61.0
TRANS044789,CUST00026,2023-04-30,33000,Transportasi,E-Wallet,1900000,774000,59.26
TRANS029758,CUST00026,2023-06-03,107000,Kebutuhan Kuliah,E-Wallet,1900000,107000,94.37
TRANS048863,CUST00026,2023-07-17,38000,Makan & Minum,Credit Card,1900000,38000,98.0
TRANS008911,CUST00026,2023-09-08,36000,Transportasi,E-Wallet,1900000,36000,98.11
TRANS027585,CUST00026,2023-09-10,25000,Transportasi,Bank Transfer,1900000,61000,96.79
TRANS008125,CUST00026,2023-09-12,60000,Makan & Minum,Credit Card,1900000,121000,93.63
TRANS006542,CUST00026,2023-10-09,221000,Hiburan & Nongkrong,Credit Card,1900000,221000,88.37
TRANS029776,CUST00026,2023-11-17,42000,Kebutuhan Kuliah,Bank Transfer,1900000,42000,97.79
TRANS001172,CUST00026,2023-11-30,25000,Transportasi,E-Wallet,1900000,67000,96.47
TRANS049034,CUST00026,2023-12-09,50000,Makan & Minum,Bank Transfer,1900000,50000,97.37
TRANS027215,CUST00026,2023-12-28,16000,Makan & Minum,Bank Transfer,1900000,66000,96.53
TRANS033037,CUST00026,2024-01-26,47000,Makan & Minum,Credit Card,1900000,47000,97.53
TRANS020555,CUST00026,2024-05-29,44000,Transportasi,Bank Transfer,1900000,44000,97.68
TRANS035038,CUST00026,2024-06-06,176000,Hiburan & Nongkrong,E-Wallet,1900000,176000,90.74
TRANS020015,CUST00026,2024-07-02,424000,Belanja Umum,E-Wallet,1900000,424000,77.68
TRANS047506,CUST00026,2024-07-05,422000,Belanja Umum,Credit Card,1900000,846000,55.47
TRANS001870,CUST00026,2024-10-04,130000,Kebutuhan Kuliah,Credit Card,1900000,130000,93.16
TRANS014857,CUST00026,2024-10-23,162000,Hiburan & Nongkrong,Bank Transfer,1900000,292000,84.63
TRANS028447,CUST00026,2024-10-23,29000,Transportasi,E-Wallet,1900000,321000,83.11
TRANS003397,CUST00026,2024-11-22,15000,Makan & Minum,E-Wallet,1900000,15000,99.21
TRANS036008,CUST00026,2024-12-12,31000,Makan & Minum,Bank Transfer,1900000,31000,98.37
TRANS032043,CUST00026,2024-12-14,23000,Transportasi,Bank Transfer,1900000,54000,97.16
TRANS021684,CUST00029,2023-01-18,55000,Makan & Minum,Bank Transfer,1521000,55000,96.38
TRANS039746,CUST00029,2023-02-09,267000,Hiburan & Nongkrong,Credit Card,1521000,267000,82.45
TRANS021796,CUST00029,2023-02-18,170000,Kebutuhan Kuliah,E-Wallet,1521000,437000,71.27
TRANS004805,CUST00029,2023-03-08,50000,Hiburan & Nongkrong,E-Wallet,1521000,50000,96.71
TRANS024860,CUST00029,2023-04-07,43000,Makan & Minum,Credit Card,1521000,43000,97.17
TRANS017827,CUST00029,2023-04-24,64000,Makan & Minum,Credit Card,1521000,107000,92.97
TRANS041407,CUST00029,2023-07-26,23000,Makan & Minum,E-Wallet,1521000,23000,98.49
TRANS020806,CUST00029,2023-10-29,48000,Transportasi,Bank Transfer,1521000,48000,96.84
TRANS041830,CUST00029,2023-11-05,145000,Kebutuhan Kuliah,E-Wallet,1521000,145000,90.47
TRANS005741,CUST00029,2023-11-10,51000,Makan & Minum,Bank Transfer,1521000,196000,87.11
TRANS048392,CUST00029,2023-12-12,122000,Belanja Umum,Credit Card,1521000,122000,91.98
TRANS029650,CUST00029,2024-01-29,17000,Makan & Minum,E-Wallet,1521000,17000,98.88
TRANS038008,CUST00029,2024-02-08,81000,Hiburan & Nongkrong,E-Wallet,1521000,81000,94.67
TRANS036373,CUST00029,2024-02-22,64000,Makan & Minum,E-Wallet,1521000,145000,90.47
